$version=1
!Code,Name,Process,Node,Existing,MinProd [Unit/day],MaxProd [Unit/day], ProdCost[$/Unit)
6,Producao Bahia (Manati + Reconcavo),1,20,0,0,4000,270
7,Producao onshore SE/AL (Carmopolis),1,23,0,0,2000,270
8,SEAP  Sergipe Aguas Profundas,1,24,1,0,15000,255
9,Producao RN (Guamare),1,27,0,0,1500,275
16,GNL firme DES  Bahia,2,42,0,0,3000,430
17,GNL firme DES  Pecem,2,43,0,0,2000,430
18,GNL firme DES  Sergipe,2,44,0,0,6000,430
26,GNL firme DES  Suape,2,59,1,0,3000,430
