Varies per block?       ,    1,Unit    ,kUE    ,     2,     1,  2027
Varies per sequence?    ,    1
# of agents             ,   18
Stag,Seq.,Blck,Regaseificacao B. Guanabara:Tanque FSRU Baia de Guanabara,Regaseificacao B. Guanabara:Terminal GNL B. Guanabara (lado GN),Regaseificacao Bahia:Tanque FSRU Bahia,Regaseificacao Bahia:Terminal GNL Bahia (lado GN),Regaseificacao Pecem:Tanque FSRU Pecem,Regaseificacao Pecem:Pecem (lado GN),Regaseificacao Sergipe:Tanque FSRU Sergipe,Regaseificacao Sergipe:Terminal GNL Sergipe (lado GN),Regaseificacao Acu:Tanque FSRU Acu,Regaseificacao Acu:Porto do Acu (lado GN),Regaseificacao Santos:Tanque FSRU Santos,Regaseificacao Santos:Terminal GNL Santos (lado GN),Regaseificacao Babitonga (TGS):Tanque FSRU Babitonga (TGS),Regaseificacao Babitonga (TGS):S. Francisco do Sul (lado GN),Regaseificacao Barcarena:Tanque FSRU Barcarena,Regaseificacao Barcarena:Barcarena (lado GN),Regaseificacao Suape:Tanque FSRU Suape,Regaseificacao Suape:Cabo / Suape
   6,   1,   3,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  3.7335    , -3.6775    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    , 0.37620    ,-0.37056    ,  0.0000    ,  0.0000      
   7,   1,   1,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  2.6236    , -2.5843    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    , 0.40978    ,-0.40363    ,  0.0000    ,  0.0000      
   7,   1,   2,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  4.1941    , -4.1312    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    , 0.63084    ,-0.62138    ,  0.0000    ,  0.0000      
   7,   1,   3,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  4.8114    , -4.7392    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    , 0.77103    ,-0.75946    ,  0.0000    ,  0.0000      
   8,   1,   1,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  4.7158    , -4.6451    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    , 0.85680    ,-0.84395    ,  0.0000    ,  0.0000      
   8,   1,   2,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  6.1690    , -6.0765    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  1.1602    , -1.1428    ,  0.0000    ,  0.0000      
   8,   1,   3,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  6.9468    , -6.8426    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  1.3102    , -1.2905    ,  0.0000    ,  0.0000      
   9,   1,   1,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  4.1800    , -4.1173    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    , 0.63296    ,-0.62347    ,  0.0000    ,  0.0000      
   9,   1,   2,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  8.0876    , -7.9663    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  1.1115    , -1.0948    ,  0.0000    ,  0.0000      
   9,   1,   3,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  10.175    , -10.023    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  1.3749    , -1.3543    ,  0.0000    ,  0.0000      
  10,   1,   1,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  2.9953    , -2.9504    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    , 0.57241    ,-0.56382    ,  0.0000    ,  0.0000      
  10,   1,   2,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  7.2237    , -7.1153    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  1.1254    , -1.1085    ,  0.0000    ,  0.0000      
  10,   1,   3,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  8.7862    , -8.6544    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  1.2821    , -1.2629    ,  0.0000    ,  0.0000      
  11,   1,   1,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  1.9993    , -1.9693    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    , 0.41950    ,-0.41321    ,  0.0000    ,  0.0000      
  11,   1,   2,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  4.7114    , -4.6407    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  1.0146    ,-0.99942    ,  0.0000    ,  0.0000      
  11,   1,   3,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  5.8551    , -5.7673    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  1.2462    , -1.2275    ,  0.0000    ,  0.0000      
  12,   1,   1,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  39.774    , -39.177    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  9.8250    , -9.6776    ,  0.0000    ,  0.0000      
  12,   1,   2,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  106.07    , -104.48    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  26.293    , -25.899    ,  0.0000    ,  0.0000      
  12,   1,   3,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  135.01    , -132.99    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  33.498    , -32.996    ,  0.0000    ,  0.0000      
