Varies per block?       ,    1,Unit    ,k$     ,     2,     1,  2027
Varies per sequence?    ,    1
# of agents             ,   26
Stag,Seq.,Blck,Biometano  cluster interior SP (Paulinia),Rota 1  pre-sal Santos (UTGCA),Biometano  cluster Japeri (RJ),Rota 3  pre-sal (Boaventura),Rota 2  pre-sal (Cabiunas),BM-C-33 / Raia (Cabiunas),Producao capixaba (Cacimbas),Producao Bolivia (Rio Grande),Exportacao Argentina p/ Bolivia (Campo Duran),GNL firme DES  B. Guanabara,GNL firme DES  Acu,GNL firme DES  Santos,GNL spot  mercado internacional,Producao Bahia (Manati + Reconcavo),Producao onshore SE/AL (Carmopolis),SEAP  Sergipe Aguas Profundas,Producao RN (Guamare),GNL firme DES  Bahia,GNL firme DES  Pecem,GNL firme DES  Sergipe,GNL firme DES  Suape,Producao Urucu,Producao Parnaiba,GNL firme DES  Barcarena,Exportacao Argentina p/ TSB (Paso de los Libres),GNL firme DES  Babitonga (TGS)
   5,   1,   1,  0.0000    ,  56.519    ,  0.0000    ,  2103.6    ,  3611.5    ,  0.0000    ,  0.0000    ,  74.386    ,  0.0000    ,  0.0000    ,  289.98    ,  0.0000    ,  477.81    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  4659.1    ,  5320.2    ,  5912.5    ,  0.0000    ,  0.0000      
   5,   1,   2,  0.0000    ,  147.46    ,  0.0000    ,  3690.5    ,  5290.0    ,  0.0000    ,  0.0000    ,  194.08    ,  0.0000    ,  0.0000    ,  462.70    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  7500.5    ,  8549.8    ,  10320.    ,  0.0000    ,  0.0000      
   5,   1,   3,  0.0000    ,  178.29    ,  0.0000    ,  10304.    ,  9699.3    ,  0.0000    ,  0.0000    ,  234.65    ,  0.0000    ,  0.0000    ,  588.73    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  9542.2    ,  10901.    ,  13131.    ,  0.0000    ,  0.0000      
   6,   1,   1,  0.0000    ,  56.295    ,  0.0000    ,  5891.5    ,  3733.6    ,  0.0000    ,  0.0000    ,  74.101    ,  0.0000    ,  0.0000    ,  1020.7    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  4569.3    ,  6547.2    ,  86.266    ,  12.742    ,  0.0000      
   6,   1,   2,  0.0000    ,  147.97    ,  0.0000    ,  3294.5    ,  9340.7    ,  0.0000    ,  0.0000    ,  194.77    ,  0.0000    ,  0.0000    ,  1383.8    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  6789.5    ,  9699.3    ,  137.53    ,  18.895    ,  0.0000      
   6,   1,   3,  0.0000    ,  181.75    ,  0.0000    ,  6094.7    ,  6596.2    ,  0.0000    ,  0.0000    ,  239.23    ,  0.0000    ,  0.0000    ,  1605.4    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  7990.3    ,  11408.    ,  161.77    ,  13.291    ,  0.0000      
   7,   1,   1,  0.0000    ,  55.008    ,  0.0000    ,  1794.5    ,  3217.1    ,  0.0000    ,  0.0000    ,  72.404    ,  0.0000    ,  0.0000    ,  1128.2    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  4020.8    ,  5024.2    ,  176.20    ,  11.004    ,  0.0000      
   7,   1,   2,  0.0000    ,  147.21    ,  0.0000    ,  3043.8    ,  4976.2    ,  0.0000    ,  0.0000    ,  193.77    ,  0.0000    ,  0.0000    ,  1803.5    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  6122.9    ,  7590.4    ,  271.26    ,  16.940    ,  0.0000      
   7,   1,   3,  0.0000    ,  187.55    ,  0.0000    ,  10020.    ,  9971.2    ,  0.0000    ,  0.0000    ,  246.86    ,  0.0000    ,  0.0000    ,  2068.9    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  7495.9    ,  9264.9    ,  331.54    ,  8.7265    ,  0.0000      
   8,   1,   1,  0.0000    ,  59.666    ,  0.0000    ,  2264.5    ,  3837.2    ,  0.0000    ,  0.0000    ,  78.536    ,  0.0000    ,  0.0000    ,  2027.8    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  4480.8    ,  6237.5    ,  368.42    ,  13.320    ,  0.0000      
   8,   1,   2,  0.0000    ,  152.02    ,  0.0000    ,  3559.7    ,  9762.3    ,  0.0000    ,  0.0000    ,  200.10    ,  0.0000    ,  0.0000    ,  2652.7    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  6358.3    ,  8598.6    ,  498.89    ,  19.041    ,  0.0000      
   8,   1,   3,  0.0000    ,  174.33    ,  0.0000    ,  10323.    ,  6240.8    ,  0.0000    ,  0.0000    ,  229.47    ,  0.0000    ,  0.0000    ,  2987.1    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  7182.3    ,  9718.6    ,  563.37    ,  3.0242    ,  0.0000      
   9,   1,   1,  0.0000    ,  74.330    ,  0.0000    ,  1735.3    ,  2731.5    ,  0.0000    ,  0.0000    ,  97.831    ,  0.0000    ,  0.0000    ,  1797.4    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  3533.1    ,  4149.7    ,  272.17    ,  38.355    ,  0.0000      
