Num Graph...........................|...Unid Type  Y/N
114 OptGen2: Maximum withdrawal per cuv         0    0
115 OptGen2: Fuel contract offtake couv         1    0
116 OptGen2: Sensitivity load factor p.u        6    0
117 OptGen2: OPTGEN 2 convergence rep%          6    0
118 OptGen2: OPTGEN 2 operative cost M$         1    0
119 OptGen2: Aggregated load marginal$/MWh      3    0
120 OptGen2: Load marginal cost per t$/MWh      3    0
121 OptGen2: Levelized cost for renew$/MWh      1    0
122 OptGen2: Levelized cost for renew$/MWh      1    0
123 OptGen2: Capacity factor for renep.u        6    0
124 OptGen2: Capacity factor for renep.u        6    0
125 OptGen2: Investment cost for reneM$         1    0
126 OptGen2: Firm energy for renewablMW.avg     4    0
127 OptGen2: Firm capacity for renewaMW         4    0
128 OptGen2: Renewable installed capaMW         4    0
129 OptGen2: Levelized cost for CSP -$/MWh      1    0
130 OptGen2: Levelized cost for CSP c$/MWh      1    0
131 OptGen2: Capacity factor for CSP p.u        6    0
132 OptGen2: Capacity factor for CSP p.u        6    0
133 OptGen2: Investment cost for CSP M$         1    0
134 OptGen2: CSP thermal outflow (eneGWh        2    0
135 OptGen2: CSP thermal inflow (enerGWh        2    0
136 OptGen2: CSP thermal storage (eneGWh        2    0
137 OptGen2: Node investment cost    M$         1    0
138 OptGen2: Levelized cost for therm$/MWh      1    0
139 OptGen2: Investment cost for therM$         1    0
140 OptGen2: Firm energy for thermalsMW.avg     4    0
141 OptGen2: Firm capacity for thermaMW         4    0
142 OptGen2: Thermal installed capaciMW         4    0
143 OptGen2: Levelized cost for hydro$/MWh      1    0
144 OptGen2: Investment cost for hydrM$         1    0
145 OptGen2: Firm energy for hydros  MW.avg     4    0
146 OptGen2: Firm capacity for hydrosMW         4    0
147 OptGen2: Hydro installed capacityMW         4    0
148 OptGen2: Investment cost for battM$         1    0
149 OptGen2: Battery firm energy     MW.avg     4    0
150 OptGen2: Battery firm capacity   MW         4    0
151 OptGen2: Battery installed capaciMW         4    0
152 OptGen2: Gas node investment costM$         1    0
153 OptGen2: Gas pipeline investment M$         1    0
154 OptGen2: Investment cost for dcliM$         1    0
155 OptGen2: Circuit investment cost M$         1    0
156 OptGen2: Investment cost for inteM$         1    0
157 OptGen2: Generic constraint margiM$/MW      3    0
158 OptGen2: Hourly final storage    hm3        2    0
159 OptGen2: Hourly hydro spillage   m3/s       2    0
160 OptGen2: Hourly hydro turbining om3/s       2    0
161 OptGen2: Hourly hydro inflow     m3/s       2    0
162 OptGen2: Hourly irrigation penaltk$         8    0
163 OptGen2: Hourly irrigation violathm3        7    0
164 OptGen2: Hourly minimum tot. outfk$         8    0
165 OptGen2: Hourly minimum tot. outfm3/s       7    0
166 OptGen2: Hourly minimum turb. outk$         8    0
167 OptGen2: Hourly minimum turb. outm3/s       7    0
168 OptGen2: Hourly minimum spillage k$         8    0
169 OptGen2: Hourly minimum spillage m3/s       7    0
170 OptGen2: Hourly minimum storage pk$         8    0
171 OptGen2: Hourly minimum storage vhm3        7    0
172 OptGen2: Hourly alert storage penk$         8    0
173 OptGen2: Hourly alert storage viohm3        7    0
174 OptGen2: Load block length in pu p.u        0    0
175 OptGen2: Hour-block mapping for t           0    0
176 OptGen2: Circuit reactance result%          2    0
177 OptGen2: Losses in circuits      MW         2    0
178 OptGen2: Power injections        MW         2    0
179 OptGen2: Power injection cost    k$         1    0
180 OptGen2: FPD generation          kUC        2    0
181 OptGen2: FPD revenue             k$         9    0
182 OptGen2: Generic emissions       unit       2    0
183 OptGen2: Interconnection reserve MW         2    0
184 OptGen2: Interconnection reserve MW         2    0
185 OptGen2: DC link reserve TO      MW         2    0
186 OptGen2: DC link reserve FROM    MW         2    0
187 OptGen2: Circuit reserve TO      MW         2    0
188 OptGen2: Circuit reserve FROM    MW         2    0
189 OptGen2: Energy chain storage netunit/h     2    0
190 OptGen2: Energy chain storage disunit/h     2    0
191 OptGen2: Energy chain storage chaunit/h     2    0
192 OptGen2: Energy chain storage finunit       2    0
193 OptGen2: Energy chain storage staunit       2    0
194 OptGen2: Energy chain storage invM$         1    0
195 OptGen2: Energy chain transport funit/h     2    0
196 OptGen2: Energy chain transport funit/h     2    0
197 OptGen2: Energy chain transport iM$         1    0
198 OptGen2: Energy chain producer geunit/h     2    0
199 OptGen2: Energy chain producer inM$         1    0
200 OptGen2: Energy chain node demandunit/h     0    0
201 OptGen2: Energy chain deficit    unit/h     7    0
202 OptGen2: Operational cost breakdoM$         1    0
203 OptGen2: Generic constraint LHS             0    0
204 OptGen2: Generic constraint RHS             0    0
205 OptGen2: Min/max constraint LHS  MW         0    0
206 OptGen2: Min/max constraint RHS  MW         0    0
207 OptGen2: Firm capacity of renewabpu         4    0
208 OptGen2: Scenario probability    pu         0    0
209 OptGen2: Energy chain fixed convekUE        2    0
210 OptGen2: Energy chain fixed convekUE        2    0
211 OptGen2: Energy chain fixed conveM$         1    0
212 OptGen2: Energy chain elastic demunit/h     2    0
213 OptGen2: Thermal reduced cost    M$         3    0
214 OptGen2: Hydro reduced cost      M$         3    0
215 OptGen2: Renewable reduced cost  M$         3    0
216 OptGen2: CSP reduced cost        M$         3    0
217 OptGen2: Battery reduced cost    M$         3    0
218 OptGen2: Energy efficiency       MW         2    0
219 OptGen2: Energy efficiency per syMW         2    0
220 OptGen2: Energy efficiency per buMW         2    0
221 OptGen2: Integer generation constunit       7    0
222 OptGen2: 3-winding transformer flMW         2    0
223 OptGen2: Energy efficiency firm eMW.avg     4    0
224 OptGen2: Energy efficiency firm cMW         4    0
225 OptGen2: Island node type                  10    0
226 OptGen2: Bus to island assignment          10    0
227 OptGen2: Excess generation       MW         7    0
228 OptGen2: Hydro unit generation   MW         2    0
229 OptGen2: Thermal unit generation MW         2    0
230 OptGen2: Renewable unit generatioMW         2    0
