$version=2
**** Load  :        27         Sgmnt:    1
2026   1348.22332.95375.91   280250.75261.33257.42272.04323.56309.81334.22285.59
2026   2516.39512.57537.31586.67654.24686.93 688.9693.12   624590.11522.22458.73
2026   3 607.4626.48606.77733.33791.01843.73877.68794.84716.44668.09647.56583.68
2027   1362.15346.28390.95 291.2260.78271.79267.72282.92336.51322.19 347.6297.01
2027   2537.05533.08 558.8610.13680.39714.42716.47720.84648.98 613.7543.13477.07
2027   3 631.7651.54631.05762.67822.63877.49 912.8826.63745.12 694.8673.48607.02
2028   1376.63360.12406.58302.86271.22282.65278.42294.24349.96335.08361.49 308.9
2028   2558.52554.39581.15634.55707.62742.98 745.1749.67674.93638.24564.83496.18
2028   3656.96677.59656.27793.19855.56912.57949.28859.69774.91722.58700.38631.32
2029   1391.69374.53422.85314.97282.07293.97289.57306.02363.96348.49375.96321.25
2029   2580.87576.57604.41659.93735.94772.72774.94779.68701.93 663.8587.43   516
2029   3683.24 704.7682.54824.91889.79949.11987.29 894.1805.91751.51728.41656.55
2030   1407.35 389.5439.77327.57293.35305.73301.14318.26378.51362.42   391334.11
2030   2604.09599.63628.58686.33765.37803.62805.91810.87729.98690.33610.94536.66
2030   3710.56732.88709.85857.91925.38987.061026.8929.87838.12781.55757.56682.83
**** Load  :        30         Sgmnt:    1
YEAR BLK     1     2     3     4     5     6     7     8     9    10    11    12
2025   1 43.53 41.62 46.99    35 31.34 32.67 32.18 34.01 40.44 38.73 41.78  35.7
2025   2 64.55 64.07 67.16 73.33 81.78 85.87 86.11 86.64    78 73.76 65.28 57.34
2025   3 75.92 78.31 75.85 91.67 98.88105.47109.71 99.35 89.56 83.51 80.94 72.96
2026   1 43.53 41.62 46.99    35 31.34 32.67 32.18 34.01 40.44 38.73 41.78  35.7
2026   2 64.55 64.07 67.16 73.33 81.78 85.87 86.11 86.64    78 73.76 65.28 57.34
2026   3 75.92 78.31 75.85 91.67 98.88105.47109.71 99.35 89.56 83.51 80.94 72.96
2027   1  44.4 42.46 47.93  35.7 31.97 33.32 32.83 34.69 41.26  39.5 42.62 36.41
2027   2 65.85 65.36 68.51  74.8  83.4 87.59 87.85 88.37 79.58 75.23  66.6 58.48
2027   3 77.45 79.88 77.36  93.5100.84107.59111.92101.34 91.36 85.17 82.58 74.41
