$version=1
!Code,Name,Process
31,Araucaria,1
32,S. Francisco do Sul (lado GN),1
33,Biguacu / Florianopolis,1
34,Canoas,1
35,Uruguaiana,1
57,Paso de los Libres (Argentina)  TSB,1
47,Tanque FSRU Babitonga (TGS),2
61,Garuva,1
