Varies per block?       ,    1,Unit    ,kUE    ,     2,     1,  2027
Varies per sequence?    ,    1
# of agents             ,   26
Stag,Seq.,Blck,Biometano  cluster interior SP (Paulinia),Rota 1  pre-sal Santos (UTGCA),Biometano  cluster Japeri (RJ),Rota 3  pre-sal (Boaventura),Rota 2  pre-sal (Cabiunas),BM-C-33 / Raia (Cabiunas),Producao capixaba (Cacimbas),Producao Bolivia (Rio Grande),Exportacao Argentina p/ Bolivia (Campo Duran),GNL firme DES  B. Guanabara,GNL firme DES  Acu,GNL firme DES  Santos,GNL spot  mercado internacional,Producao Bahia (Manati + Reconcavo),Producao onshore SE/AL (Carmopolis),SEAP  Sergipe Aguas Profundas,Producao RN (Guamare),GNL firme DES  Bahia,GNL firme DES  Pecem,GNL firme DES  Sergipe,GNL firme DES  Suape,Producao Urucu,Producao Parnaiba,GNL firme DES  Barcarena,Exportacao Argentina p/ TSB (Paso de los Libres),GNL firme DES  Babitonga (TGS)
   5,   1,   2,  0.0000    , 0.61442    ,  0.0000    ,  15.704    ,  22.042    ,  0.0000    ,  0.0000    , 0.66924    ,  0.0000    ,  0.0000    ,  1.0760    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  37.503    ,  44.999    ,  24.000    ,  0.0000    ,  0.0000      
   5,   1,   3,  0.0000    , 0.74287    ,  0.0000    ,  43.848    ,  40.414    ,  0.0000    ,  0.0000    , 0.80915    ,  0.0000    ,  0.0000    ,  1.3691    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  47.711    ,  57.371    ,  30.537    ,  0.0000    ,  0.0000      
   6,   1,   1,  0.0000    , 0.23456    ,  0.0000    ,  25.070    ,  15.557    ,  0.0000    ,  0.0000    , 0.25552    ,  0.0000    ,  0.0000    ,  2.3737    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  22.847    ,  34.459    , 0.20062    , 0.49009E-01,  0.0000      
   6,   1,   2,  0.0000    , 0.61656    ,  0.0000    ,  14.019    ,  38.920    ,  0.0000    ,  0.0000    , 0.67163    ,  0.0000    ,  0.0000    ,  3.2181    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  33.948    ,  51.049    , 0.31983    , 0.72673E-01,  0.0000      
   6,   1,   3,  0.0000    , 0.75730    ,  0.0000    ,  25.935    ,  27.484    ,  0.0000    ,  0.0000    , 0.82495    ,  0.0000    ,  0.0000    ,  3.7335    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  39.951    ,  60.044    , 0.37620    , 0.51121E-01,  0.0000      
   7,   1,   1,  0.0000    , 0.22920    ,  0.0000    ,  7.6362    ,  13.405    ,  0.0000    ,  0.0000    , 0.24967    ,  0.0000    ,  0.0000    ,  2.6236    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  20.104    ,  26.443    , 0.40978    , 0.42322E-01,  0.0000      
   7,   1,   2,  0.0000    , 0.61337    ,  0.0000    ,  12.952    ,  20.734    ,  0.0000    ,  0.0000    , 0.66816    ,  0.0000    ,  0.0000    ,  4.1941    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  30.615    ,  39.949    , 0.63084    , 0.65155E-01,  0.0000      
   7,   1,   3,  0.0000    , 0.78145    ,  0.0000    ,  42.636    ,  41.547    ,  0.0000    ,  0.0000    , 0.85125    ,  0.0000    ,  0.0000    ,  4.8114    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  37.480    ,  48.762    , 0.77103    , 0.33564E-01,  0.0000      
   8,   1,   1,  0.0000    , 0.24861    ,  0.0000    ,  9.6362    ,  15.988    ,  0.0000    ,  0.0000    , 0.27081    ,  0.0000    ,  0.0000    ,  4.7158    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  22.404    ,  32.829    , 0.85680    , 0.51231E-01,  0.0000      
   8,   1,   2,  0.0000    , 0.63342    ,  0.0000    ,  15.148    ,  40.676    ,  0.0000    ,  0.0000    , 0.69001    ,  0.0000    ,  0.0000    ,  6.1690    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  31.791    ,  45.256    ,  1.1602    , 0.73233E-01,  0.0000      
