Varies per block?       ,    1,Unit    ,k$/UE/d,     2,     1,  2027
Varies per sequence?    ,    1
# of agents             ,   26
Stag,Seq.,Blck,Biometano  cluster interior SP (Paulinia),Rota 1  pre-sal Santos (UTGCA),Biometano  cluster Japeri (RJ),Rota 3  pre-sal (Boaventura),Rota 2  pre-sal (Cabiunas),BM-C-33 / Raia (Cabiunas),Producao capixaba (Cacimbas),Producao Bolivia (Rio Grande),Exportacao Argentina p/ Bolivia (Campo Duran),GNL firme DES  B. Guanabara,GNL firme DES  Acu,GNL firme DES  Santos,GNL spot  mercado internacional,Producao Bahia (Manati + Reconcavo),Producao onshore SE/AL (Carmopolis),SEAP  Sergipe Aguas Profundas,Producao RN (Guamare),GNL firme DES  Bahia,GNL firme DES  Pecem,GNL firme DES  Sergipe,GNL firme DES  Suape,Producao Urucu,Producao Parnaiba,GNL firme DES  Barcarena,Exportacao Argentina p/ TSB (Paso de los Libres),GNL firme DES  Babitonga (TGS)
   4,   1,   3, 0.58335E-02,  0.0000    , 0.60602E-02,  0.0000    ,  0.0000    , 0.72727E-03, 0.12708E-02,  0.0000    , 0.19273E-01, 0.14493E-01,-0.18845E-02, 0.14162E-01,  0.0000    , 0.17085E-02, 0.16178E-02, 0.55595E-03, 0.14385E-02, 0.13642E-01, 0.12874E-01, 0.13553E-01, 0.31273E-01,  0.0000    ,  0.0000    ,  0.0000    , 0.18909E-01, 0.31273E-01  
   5,   1,   1, 0.17501E-01,  0.0000    , 0.18181E-01,  0.0000    ,  0.0000    , 0.21818E-02, 0.38125E-02,  0.0000    , 0.57818E-01, 0.43478E-01,  0.0000    , 0.42487E-01,  0.0000    , 0.51255E-02, 0.48533E-02, 0.16678E-02, 0.43155E-02, 0.40927E-01, 0.38622E-01, 0.40659E-01, 0.93818E-01,  0.0000    ,  0.0000    ,-0.41232E-02, 0.56727E-01, 0.93818E-01  
   5,   1,   2, 0.67076E-02,  0.0000    , 0.69682E-02,  0.0000    ,  0.0000    , 0.83624E-03, 0.14612E-02,  0.0000    , 0.22160E-01, 0.16664E-01,  0.0000    , 0.16284E-01, 0.15771E-02, 0.19645E-02, 0.18602E-02, 0.63925E-03, 0.16540E-02, 0.15686E-01, 0.14803E-01, 0.15584E-01, 0.35958E-01,  0.0000    ,  0.0000    ,  0.0000    , 0.21742E-01, 0.35958E-01  
   5,   1,   3, 0.55478E-02,  0.0000    , 0.57633E-02,  0.0000    ,  0.0000    , 0.69164E-03, 0.12086E-02,  0.0000    , 0.18329E-01, 0.13783E-01,  0.0000    , 0.13469E-01, 0.13044E-02, 0.16248E-02, 0.15385E-02, 0.52871E-03, 0.13680E-02, 0.12974E-01, 0.12243E-01, 0.12889E-01, 0.29741E-01,  0.0000    ,  0.0000    ,  0.0000    , 0.17983E-01, 0.29741E-01  
   6,   1,   1, 0.18334E-01,  0.0000    , 0.19046E-01,  0.0000    ,  0.0000    , 0.22857E-02, 0.39941E-02,  0.0000    , 0.60571E-01, 0.45548E-01,  0.0000    , 0.44511E-01, 0.43109E-02, 0.53696E-02, 0.50844E-02, 0.17473E-02, 0.45210E-02, 0.42876E-01, 0.40461E-01, 0.42595E-01, 0.98286E-01,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    , 0.98286E-01  
   6,   1,   2, 0.69749E-02,  0.0000    , 0.72459E-02,  0.0000    ,  0.0000    , 0.86957E-03, 0.15195E-02,  0.0000    , 0.23043E-01, 0.17328E-01,  0.0000    , 0.16933E-01, 0.16400E-02, 0.20428E-02, 0.19343E-02, 0.66472E-03, 0.17199E-02, 0.16312E-01, 0.15393E-01, 0.16205E-01, 0.37391E-01,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    , 0.37391E-01  
   6,   1,   3, 0.56787E-02,  0.0000    , 0.58993E-02,  0.0000    ,  0.0000    , 0.70796E-03, 0.12371E-02,  0.0000    , 0.18761E-01, 0.14108E-01,  0.0000    , 0.13786E-01, 0.13352E-02, 0.16632E-02, 0.15748E-02, 0.54119E-03, 0.14003E-02, 0.13280E-01, 0.12532E-01, 0.13193E-01, 0.30442E-01,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    , 0.30442E-01  
   7,   1,   1, 0.18334E-01,  0.0000    , 0.19046E-01,  0.0000    ,  0.0000    , 0.22857E-02, 0.39941E-02,  0.0000    , 0.60571E-01, 0.45548E-01,  0.0000    , 0.44511E-01, 0.43109E-02, 0.53696E-02, 0.50844E-02, 0.17473E-02, 0.45210E-02, 0.42876E-01, 0.68709E-03,  0.0000    , 0.98286E-01,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    , 0.98286E-01  
   7,   1,   2, 0.68508E-02,  0.0000    , 0.71169E-02,  0.0000    ,  0.0000    , 0.85409E-03, 0.14925E-02,  0.0000    , 0.22633E-01, 0.17020E-01,  0.0000    , 0.16632E-01, 0.16108E-02, 0.20064E-02, 0.18999E-02, 0.65289E-03, 0.16893E-02, 0.16021E-01, 0.25674E-03,  0.0000    , 0.36726E-01,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    , 0.36726E-01  
   7,   1,   3, 0.53773E-02,  0.0000    , 0.55862E-02,  0.0000    ,  0.0000    , 0.67039E-03, 0.11714E-02,  0.0000    , 0.17765E-01, 0.13359E-01,  0.0000    , 0.13055E-01, 0.12644E-02, 0.15749E-02, 0.14912E-02, 0.51247E-03, 0.13260E-02, 0.12575E-01, 0.11801E-01,  0.0000    , 0.28827E-01,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    , 0.28827E-01  
   8,   1,   1, 0.16740E-01,  0.0000    , 0.17390E-01,  0.0000    ,  0.0000    , 0.20870E-02, 0.36468E-02,  0.0000    , 0.55304E-01,  0.0000    ,  0.0000    , 0.40640E-01, 0.39360E-02, 0.49027E-02, 0.46423E-02, 0.15953E-02, 0.41279E-02, 0.39148E-01, 0.62734E-03,  0.0000    , 0.89739E-01,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    , 0.89739E-01  
   8,   1,   2, 0.65702E-02,  0.0000    , 0.68255E-02,  0.0000    ,  0.0000    , 0.81911E-03, 0.14313E-02,  0.0000    , 0.21706E-01,  0.0000    ,  0.0000    , 0.15951E-01, 0.15448E-02, 0.19243E-02, 0.18221E-02, 0.62615E-03, 0.16202E-02, 0.15365E-01, 0.14500E-01,  0.0000    , 0.35222E-01,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    , 0.35222E-01  
   8,   1,   3, 0.57294E-02,  0.0000    , 0.59520E-02,  0.0000    ,  0.0000    , 0.71429E-03, 0.12482E-02,  0.0000    , 0.18929E-01,  0.0000    ,  0.0000    , 0.13910E-01, 0.13471E-02, 0.16780E-02, 0.15889E-02, 0.54602E-03, 0.14128E-02, 0.13399E-01, 0.12644E-01,  0.0000    , 0.30714E-01,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    , 0.30714E-01  
   9,   1,   1, 0.13750E-01,  0.0000    , 0.14285E-01,  0.0000    ,  0.0000    , 0.17143E-02, 0.29956E-02,  0.0000    , 0.45429E-01, 0.34161E-01,  0.0000    , 0.33383E-01, 0.32331E-02, 0.40272E-02, 0.38133E-02, 0.13105E-02, 0.33908E-02, 0.32157E-01, 0.51532E-03, 0.31947E-01, 0.73714E-01,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    , 0.73714E-01  
   9,   1,   2, 0.71299E-02,  0.0000    , 0.74069E-02,  0.0000    ,  0.0000    , 0.88889E-03, 0.15533E-02,  0.0000    , 0.23556E-01, 0.17713E-01,  0.0000    , 0.17310E-01, 0.16764E-02, 0.20882E-02, 0.19773E-02, 0.67949E-03, 0.17582E-02, 0.16674E-01, 0.15647E-01,  0.0000    , 0.38222E-01,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    , 0.38222E-01  
   9,   1,   3, 0.62099E-02,  0.0000    , 0.64512E-02,  0.0000    ,  0.0000    , 0.77419E-03, 0.13528E-02,  0.0000    , 0.20516E-01, 0.15428E-01,  0.0000    , 0.15076E-01, 0.14601E-02, 0.18187E-02, 0.17221E-02, 0.59182E-03, 0.15313E-02, 0.14523E-01, 0.13628E-01,  0.0000    , 0.33290E-01,  0.0000    ,  0.0000    ,  0.0000    , 0.20129E-01, 0.33290E-01  
  10,   1,   1, 0.13096E-01,  0.0000    , 0.13604E-01,  0.0000    ,  0.0000    , 0.16327E-02, 0.28529E-02,  0.0000    , 0.43265E-01, 0.32534E-01,  0.0000    , 0.31793E-01, 0.30792E-02, 0.38354E-02, 0.36317E-02, 0.12480E-02, 0.32293E-02, 0.30626E-01, 0.28740E-01, 0.30425E-01, 0.70204E-01,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    , 0.70204E-01  
  10,   1,   2, 0.68752E-02,  0.0000    , 0.71424E-02,  0.0000    ,  0.0000    , 0.85714E-03, 0.14978E-02,  0.0000    , 0.22714E-01, 0.17081E-01,  0.0000    , 0.16691E-01, 0.16166E-02, 0.20136E-02, 0.19067E-02, 0.65523E-03, 0.16954E-02, 0.16079E-01, 0.15088E-01, 0.15973E-01, 0.36857E-01,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    , 0.36857E-01  
  10,   1,   3, 0.60728E-02,  0.0000    , 0.63087E-02,  0.0000    ,  0.0000    , 0.75710E-03, 0.13230E-02,  0.0000    , 0.20063E-01, 0.15087E-01,  0.0000    , 0.14743E-01, 0.14279E-02, 0.17786E-02, 0.16841E-02, 0.57875E-03, 0.14975E-02, 0.14202E-01, 0.13327E-01, 0.14109E-01, 0.32555E-01,  0.0000    ,  0.0000    ,  0.0000    , 0.19685E-01, 0.32555E-01  
  11,   1,   1, 0.12032E-01,  0.0000    , 0.12499E-01,  0.0000    ,  0.0000    , 0.15000E-02, 0.26211E-02,  0.0000    , 0.39750E-01, 0.29891E-01,  0.0000    , 0.29210E-01, 0.28290E-02, 0.35238E-02, 0.33366E-02, 0.11466E-02, 0.29669E-02, 0.28138E-01, 0.26405E-01, 0.27953E-01, 0.64500E-01,  0.0000    ,  0.0000    ,  0.0000    , 0.39000E-01, 0.64500E-01  
  11,   1,   2, 0.77003E-02,  0.0000    , 0.79994E-02,  0.0000    ,  0.0000    , 0.96000E-03, 0.16775E-02,  0.0000    , 0.25440E-01, 0.19130E-01,  0.0000    , 0.18694E-01, 0.18106E-02, 0.22552E-02, 0.21355E-02, 0.73385E-03, 0.18988E-02, 0.18008E-01, 0.16994E-01, 0.17890E-01, 0.41280E-01,  0.0000    ,  0.0000    ,  0.0000    , 0.24960E-01, 0.41280E-01  
  11,   1,   3, 0.62099E-02,  0.0000    , 0.64512E-02,  0.0000    ,  0.0000    , 0.77419E-03, 0.13528E-02,  0.0000    , 0.20516E-01, 0.15428E-01,  0.0000    , 0.15076E-01, 0.14601E-02, 0.18187E-02, 0.17221E-02, 0.59182E-03, 0.15313E-02, 0.14523E-01, 0.13705E-01, 0.14427E-01, 0.33290E-01,  0.0000    ,  0.0000    ,  0.0000    , 0.20129E-01, 0.33290E-01  
  12,   1,   1, 0.12032E-01,  0.0000    , 0.12499E-01,  0.0000    ,  0.0000    , 0.15000E-02, 0.26211E-02,  0.0000    , 0.39750E-01, 0.29891E-01,  0.0000    , 0.29210E-01, 0.28290E-02, 0.35238E-02, 0.33366E-02, 0.11466E-02, 0.29669E-02, 0.28138E-01, 0.26405E-01, 0.27953E-01, 0.64500E-01,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    , 0.64500E-01  
  12,   1,   2, 0.74905E-02,  0.0000    , 0.77816E-02,  0.0000    ,  0.0000    , 0.93385E-03, 0.16318E-02,  0.0000    , 0.24747E-01, 0.18609E-01,-0.24198E-02, 0.18185E-01,  0.0000    , 0.21938E-02, 0.20773E-02, 0.71387E-03, 0.18471E-02, 0.17518E-01, 0.16439E-01, 0.17403E-01, 0.40156E-01,  0.0000    ,  0.0000    ,  0.0000    , 0.24280E-01, 0.40156E-01  
  12,   1,   3, 0.58871E-02,  0.0000    , 0.61158E-02,  0.0000    ,  0.0000    , 0.73394E-03, 0.12825E-02,  0.0000    , 0.19450E-01, 0.14626E-01,-0.19018E-02, 0.14292E-01,  0.0000    , 0.17242E-02, 0.16326E-02, 0.56105E-03, 0.14517E-02, 0.13768E-01, 0.12920E-01, 0.13677E-01, 0.31560E-01,  0.0000    ,  0.0000    ,  0.0000    , 0.19083E-01, 0.31560E-01  
