Varies per block?       ,    2,Unit    ,UE     ,     2,     1,  2027
Varies per sequence?    ,    1
# of agents             ,   54
Stag,Seq.,Blck,GASBOL I (CorumbaC. Grande),GASBOL II (C. GrandeT. Lagoas),GASBOL III-a (T. Lagoaslinepack),GASBOL III-b (linepackPaulinia),GASBOL IV (PauliniaAraucaria),GASBOL VI (BiguacuCanoas),Lateral Cuiaba,Interconexao Paulinia (TBGNTS),GASDUC I+II+III,GASIG (ItaboraiGuapimirim/REDUC),Duto do terminal B. Guanabara,GASJAP (REDUCJaperi),GASVOL (REDUCV. Redonda),GASPAL I-a (Japerilinepack),GASPAL I-b (linepackGuararema),GASPAL II (GuararemaCapuava),GASAN (CapuavaRPBC),Duto TRSP (SantosCapuava),GASCAR (UTGCATaubate),GASTAU (TaubateGuararema),GASCAV (CabiunasVitoria),VitoriaCacimbas,GASCAC-a (Cacimbaslinepack),GASCAC-b (linepackCatu),CatuCamacari (spur),Duto do terminal Bahia,CatuCarmopolis/Atalaia,Duto do terminal Sergipe,Carmopolislinepack NE,Linepack NEPilar,PilarCabo (Suape),GASFOR (GuamareFortaleza),FortalezaPecem (spur),UrucuCoari,CoariManaus,TSB (Paso de los LibresUruguaiana),Gasinf (AcuItaborai),GASBOL trecho boliviano (Rio GrandeCorumba),Reversao ARGBOL (Campo DuranRio Grande),Rota maritima GNL  AtlanticoB. Guanabara,Rota maritima GNL  AtlanticoBahia,Rota maritima GNL  AtlanticoPecem,Rota maritima GNL  AtlanticoSergipe,Rota maritima GNL  AtlanticoAcu,Rota maritima GNL  AtlanticoSantos,Rota maritima GNL  AtlanticoBabitonga (TGS),Rota maritima GNL  AtlanticoBarcarena,Rota maritima GNL  AtlanticoSuape,GASBEL REDUC-ESMAN,ESMAN-REGAP,GASBOL V(AraucariaGavura),GASBOL V(GaruvaBiguacu),Nordestao (CaboSantaRita),Nordestao (SantaRitaGuamare)
   4,   1,   2, 0.57198    , 0.30390    ,  0.0000    ,  0.0000    ,  2.7883    ,  1.0669    , 0.55922E-01,  3.5509    ,  0.0000    ,  15.863    ,  0.0000    ,  12.686    , 0.34189    ,  0.0000    ,  8.5012    ,  4.9418    , 0.56982    ,  0.0000    , 0.57257    ,  0.0000    ,  2.3573    ,  1.8213    ,  0.0000    ,  8.8576    ,  2.7639    ,  0.0000    ,  5.8484    ,  0.0000    ,  5.6192    ,  2.0583    ,  1.9074    , 0.45852    ,  0.0000    ,  36.920    ,  36.883    ,  0.0000    ,  0.0000    , 0.62979    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  5.7503    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  1.7553    ,  1.7518    ,  1.7554    ,  1.7536    , 0.75928    , 0.75776      
   4,   1,   3, 0.71498    , 0.37988    ,  0.0000    ,  0.0000    ,  3.4854    ,  1.3337    , 0.69900E-01,  4.4386    ,  0.0000    ,  43.000    ,  0.0000    ,  39.006    , 0.42737    ,  23.208    ,  10.627    ,  6.1772    , 0.71227    ,  0.0000    , 0.71572    ,  0.0000    ,  2.9291    ,  2.2591    ,  0.0000    ,  4.0117    ,  3.4396    ,  0.0000    , 0.27941    ,  0.0000    ,  0.0000    ,  2.5729    ,  2.3842    , 0.57315    ,  0.0000    ,  45.784    ,  45.739    ,  0.0000    ,  0.0000    , 0.78724    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  6.4694    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  2.1941    ,  2.1897    ,  2.1942    ,  2.1920    , 0.94911    , 0.94721      
   5,   1,   1, 0.23295    , 0.12377    ,  0.0000    ,  0.0000    ,  1.2004    , 0.46463    , 0.22786E-01,  1.5141    ,  0.0000    ,  8.8701    ,  0.0000    ,  7.5741    , 0.13924    ,  0.0000    ,  3.5501    ,  2.0324    , 0.23435    ,  0.0000    , 0.23550    ,  0.0000    ,  2.7708    ,  2.5510    ,  1.4388    ,  1.4360    ,  1.2512    ,  0.0000    , 0.90130E-01,  0.0000    ,  0.0000    , 0.82996    , 0.76910    , 0.18489    ,  0.0000    ,  23.296    ,  23.272    ,  0.0000    ,  0.0000    , 0.25650    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  1.1945    ,  0.0000    , 0.71486    , 0.71343    , 0.75890    , 0.75814    , 0.30616    , 0.30555      
   5,   1,   2, 0.60778    , 0.32292    ,  0.0000    ,  0.0000    ,  3.1320    ,  1.2123    , 0.59449E-01,  3.9505    ,  0.0000    ,  15.492    ,  0.0000    ,  12.118    , 0.36328    ,  0.0000    ,  9.2627    ,  5.3030    , 0.61145    ,  0.0000    , 0.61442    ,  0.0000    ,  2.3336    ,  1.7700    ,  0.0000    ,  5.1694    ,  2.5146    ,  0.0000    ,  2.4049    ,  0.0000    ,  2.1676    ,  2.1654    ,  2.0066    , 0.48238    ,  0.0000    ,  37.503    ,  37.465    ,  0.0000    ,  0.0000    , 0.66924    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  1.8651    ,  1.8614    ,  1.9800    ,  1.9781    , 0.79881    , 0.79721      
   5,   1,   3, 0.73485    , 0.39044    ,  0.0000    ,  0.0000    ,  3.7869    ,  1.4657    , 0.71874E-01,  4.7764    ,  0.0000    ,  43.591    ,  0.0000    ,  39.487    , 0.43923    ,  24.036    ,  11.199    ,  6.4116    , 0.73928    ,  0.0000    , 0.74287    ,  0.0000    ,  15.338    ,  14.631    ,  12.354    ,  7.1596    ,  3.1163    ,  0.0000    ,  3.7394    ,  0.0000    ,  3.4516    ,  2.6182    ,  2.4262    , 0.58323    ,  0.0000    ,  47.711    ,  47.663    ,  0.0000    ,  0.0000    , 0.80915    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  2.2550    ,  2.2505    ,  2.3940    ,  2.3916    , 0.96581    , 0.96387      
   6,   1,   1, 0.23206    , 0.12329    ,  0.0000    ,  0.0000    ,  1.3005    , 0.48801    , 0.22695E-01,  1.6131    ,  0.0000    ,  24.989    ,  0.0000    ,  23.682    , 0.13870    ,  16.427    ,  3.8110    ,  2.1941    , 0.40291    ,  0.0000    , 0.23456    ,  0.0000    ,  1.7355    ,  1.5186    ,  0.0000    ,  1.8839    ,  1.7007    ,  0.0000    , 0.88899E-01,  0.0000    ,  0.0000    , 0.85116    , 0.79110    , 0.18236    ,  0.0000    ,  22.847    ,  22.824    , 0.49009E-01,  0.0000    , 0.25552    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    , 0.71208    , 0.71065    , 0.80230    , 0.80150    , 0.33443    , 0.33376      
   6,   1,   2, 0.60996    , 0.32408    ,  0.0000    ,  0.0000    ,  3.3662    ,  1.2827    , 0.59649E-01,  4.1877    ,  0.0000    ,  13.806    ,  0.0000    ,  10.422    , 0.36457    ,  0.0000    ,  9.7704    ,  5.5729    , 0.86494    ,  0.0000    , 0.61656    ,  0.0000    ,  18.435    ,  17.837    ,  15.535    ,  9.3367    ,  3.0838    ,  0.0000    ,  5.9962    ,  0.0000    ,  5.7568    ,  2.2001    ,  2.0422    , 0.47936    ,  0.0000    ,  33.948    ,  33.914    , 0.72673E-01,  0.0000    , 0.67163    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  1.8717    ,  1.8680    ,  2.1002    ,  2.0981    , 0.84190    , 0.84022      
   6,   1,   3, 0.74921    , 0.39807    ,  0.0000    ,  0.0000    ,  4.1311    ,  1.5756    , 0.73267E-01,  5.1401    ,  0.0000    ,  25.673    ,  0.0000    ,  21.508    , 0.44779    ,  9.1598    ,  11.980    ,  6.8282    ,  1.0456    ,  0.0000    , 0.75730    ,  0.0000    ,  3.3893    ,  2.6934    ,  0.0000    ,  4.2833    ,  3.6953    ,  0.0000    , 0.28703    ,  0.0000    ,  0.0000    ,  2.6998    ,  2.5059    , 0.58878    ,  0.0000    ,  39.951    ,  39.911    , 0.51121E-01,  0.0000    , 0.82495    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  2.2990    ,  2.2944    ,  2.5790    ,  2.5765    ,  1.0316    ,  1.0295      
   7,   1,   1, 0.22674    , 0.12047    ,  0.0000    ,  0.0000    ,  1.4220    , 0.48048    , 0.22174E-01,  1.7276    ,  0.0000    ,  7.5570    ,  0.0000    ,  6.3033    , 0.13554    ,  0.0000    ,  3.8854    ,  2.1540    , 0.40374    ,  0.0000    , 0.22920    ,  0.0000    ,  1.4401    ,  1.2307    ,  0.0000    ,  1.7698    ,  1.5926    ,  0.0000    , 0.86036E-01,  0.0000    ,  0.0000    ,  1.0168    , 0.95851    , 0.32388    , 0.14710    ,  20.104    ,  20.084    , 0.42322E-01,  0.0000    , 0.24967    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    , 0.68910    , 0.68773    , 0.80447    , 0.80366    , 0.51638    , 0.51535      
   7,   1,   2, 0.60682    , 0.32241    ,  0.0000    ,  0.0000    ,  3.5940    ,  1.2859    , 0.59339E-01,  4.4115    ,  0.0000    ,  12.740    ,  0.0000    ,  9.3924    , 0.36271    ,  0.0000    ,  9.9861    ,  5.5646    , 0.88083    ,  0.0000    , 0.61337    ,  0.0000    ,  2.4317    ,  1.8741    ,  0.0000    ,  3.4188    ,  2.9472    ,  0.0000    , 0.23024    ,  0.0000    ,  0.0000    ,  2.4659    ,  2.3101    , 0.69921    , 0.22646    ,  30.615    ,  30.584    , 0.65155E-01,  0.0000    , 0.66816    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  1.8442    ,  1.8405    ,  2.1281    ,  2.1259    ,  1.1271    ,  1.1249      
